,coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name.1,user_statuses_count,user_time_zone,user_urls,user_verified
68,"-80.28091469,25.97734614",Thu Jul 23 08:43:33 +0000 2020,DonaldTrump TheDailyShow TrevorNoah,https://twitter.com/Principal_IT/status/1286220392936271872/photo/1,http://dlvr.it/RcBk80,0,1286220392936271872,,,,en,"Miramar, FL",False,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",#DonaldTrump #TheDailyShow #TrevorNoah Trevor Noah has a warning for us about Trump's new 'somber' coronavirus tone https://t.co/eN3AaMw1hC https://t.co/Bbr6bqVBGc,https://twitter.com/Principal_IT/status/1286220392936271872,Wed May 25 14:36:28 +0000 2011,Principal_IT,False,We created our 3-P approach to keep both our company and our clients focused on using technology as a strategic tool to maximize their competitive advantage.,13,641,1592,4,"Miramar, FL",Principal-IT,Principal_IT,18775,,http://www.principal-it.com,False
95,"-80.1418,26.1358",Thu Jul 23 07:58:01 +0000 2020,clothingline clothingbrand clothing fashion streetwear apparel covid19 sldoe style tshirt,,https://www.instagram.com/p/CC-h90FjlD_/?igshid=1d4k9zxq3mj1m,5,1286208933636366336,,,,en,"Fort Lauderdale, FL",False,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","New shirt In stock : Michael No Thriller 🧟‍♂️
Link in bio. Don’t forget to shop with Str8 Like Day !
•
•
•
•
•
•#clothingline #clothingbrand #clothing #fashion #streetwear #apparel #covid19 #sldoe #style #tshirt… https://t.co/0hajosk4b7",https://twitter.com/Cjay112/status/1286208933636366336,Fri Jul 03 01:44:03 +0000 2009,Cjay112,False,follow the IG PAGE @STR8LIKEDATCLOTHING,3833,669,862,4,STRLIKEDAT CLOTHING,everything gotta be STR8LIKEDAT,Cjay112,20371,,http://www.str8likedat.com,False
128,"-80.109346,26.1609172",Thu Jul 23 11:01:00 +0000 2020,goodmorning fortlauderdale morning coffee southflorida florida july summer beach sun quarantine wakeup love amazing beautiful stayhome lauderdale covid19 photooftheday coronavirus thursday tbt laudy visitflorida photography,https://twitter.com/FtLauderdaleMag/status/1286254985681014784/photo/1,,11,1286254985681014784,,,,en,"Fort Lauderdale, FL",False,3,,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Rise &amp; shine! ☁️

#goodmorning #fortlauderdale #morning #coffee #southflorida #florida #july #summer #beach #sun #quarantine #wakeup #love #amazing #beautiful #stayhome #lauderdale #covid19 #photooftheday #coronavirus #thursday #tbt #laudy #visitflorida #photography https://t.co/CK5fTpWqKR",https://twitter.com/FtLauderdaleMag/status/1286254985681014784,Thu Apr 19 14:41:15 +0000 2012,FtLauderdaleMag,False,"Fort Lauderdale Magazine works to inform, challenge and delight the people who live, work and play in Fort Lauderdale. #FLMag #FLMagPhotoContest #FLMagPets",2018,7501,2275,161,Fort Lauderdale Florida,Fort Lauderdale Magazine,FtLauderdaleMag,9103,,http://www.FLMag.com,False
143,"-82.7643,27.9736",Thu Jul 23 10:21:36 +0000 2020,covid19 seeyousgainsoon,,https://www.instagram.com/p/CC-yZNopfYC6GQ7csvHEfP_5GrUsOTHB4Lhc5A0/?igshid=e0jr4oqf7wq9,0,1286245068387446784,,,,en,"Clearwater, FL",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","COVID deaths aren’t just numbers anymore when you lose a loved one. It hits different. I’ll miss you Aunt Minnie Faulkner. 😢💔💔😢 #covid19  #seeyousgainsoon @ Clearwater, Florida https://t.co/0mLHhtb1sK",https://twitter.com/torifaulk/status/1286245068387446784,Sat May 31 10:52:12 +0000 2014,torifaulk,False,100% Florida Gator!! #gatornation #gogators #UF94,13094,170,386,2,"Clearwater, FL",Toriano,torifaulk,2531,,,False
200,"-80.1335,25.8138",Thu Jul 23 12:21:55 +0000 2020,Covid19,,https://www.instagram.com/p/CC_AK1ZAQ5_/?igshid=1gyxyil0qrf7o,1,1286275350012538880,,,,en,"Miami Beach, FL",True,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","good morning! ☕️☕️☕️ it’s 82°F/28°C/85% humidity💦  finally, after 4 months of #Covid19 

— city officials are done issuing warnings.

Starting today, July 23, Miami Beach Police and Code Officers will be giving out… https://t.co/CfZ17n5jtL",https://twitter.com/lmdoane55/status/1286275350012538880,Fri Jan 08 09:49:02 +0000 2010,lmdoane55,False,"i myself, the same.... It's not easy being this Lawrence xo.    Peasant is a word poor people don’t use,just like classy is a word that classy  people don’t use",12232,550,393,22,MIAMI BEACH,Lawrence,lmdoane55,11818,,,False
225,"-81.4129,28.304",Thu Jul 23 12:45:40 +0000 2020,bleachanime rangiku kimono workfromhome workselfie workflow,,https://www.instagram.com/p/CC_C4mMnT_W/?igshid=1ar1c8slqxn6x,0,1286281324005928960,,,,en,"Kissimmee, FL",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Channeling my girl from #bleachanime #rangiku wearing my #kimono #workfromhome #workselfie #workflow @ Kissimmee, Florida https://t.co/mnPXCmN00b",https://twitter.com/TsAlexys/status/1286281324005928960,Sat May 28 11:32:02 +0000 2011,TsAlexys,False,アレクシス snap: alexandryaswish Wanderlust is where I'm at now.,2158,360,635,6,"Kissimmee, FL",アレクシス Alexys,TsAlexys,5680,,https://yaknowwhat.com/author/bori16/,False
226,"-80.36194444,25.605",Thu Jul 23 12:51:16 +0000 2020,,,https://www.instagram.com/p/CC_DhpigUk7/?igshid=13xvhsxrltcxj,0,1286282735435132928,,,,en,"West Perrine, FL",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","“Most child care operators will not accept a baby or toddler unless parents supply disposable diapers. This has always been a barrier to employment for families in poverty. Pre-COVID-19, one in five U.S families… https://t.co/u2gvhEKQJt",https://twitter.com/Mia_DiaperBank/status/1286282735435132928,Wed Dec 06 22:45:17 +0000 2017,Mia_DiaperBank,False,Serving South Florida babies in need since 2013. Donated 3M+ diapers & counting. Join us in supporting babies who deserve clean diapers👇🏻,772,144,375,2,,Miami Diaper Bank,Mia_DiaperBank,765,,http://bit.ly/Covid19relief,False
278,"-81.04986069,29.30596282",Thu Jul 23 13:45:12 +0000 2020,WiseChoice COVID19 Trust Integrity Honesty,,https://dailymemphian.com/section/metro/article/15597/mmr-covid-19-vaccination-deborah-overall-manoj-jain,0,1286296305996828672,,,,en,"Ormond Beach, FL",False,0,,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Research still has a long way to go, but Deborah Overall, RN of #WiseChoice @Shot_Nurse (seen &amp; interviewed here) believes there are preventative benefits of the MMR (measles, mumps, rubella) vaccine against #COVID19. #Trust #Integrity #Honesty

READ: https://t.co/TuZml1Qu4o",https://twitter.com/AndyWise5/status/1286296305996828672,Thu Jun 09 14:57:52 +0000 2011,AndyWise5,False,Andy Wise is the founder & consumer investigator of Wise Choices™️. He does the work for you in vetting the best Mid-South businesses for services & sales.,14349,10956,845,140,"Memphis, TN",Wise Choices™️,AndyWise5,23172,,http://www.andywisechoices.com,True
314,"-80.165,25.69027778",Thu Jul 23 14:52:01 +0000 2020,veterans luxurylifestyle keybiscayne miamiwaterfrontproperties vernonandvernon,,https://www.instagram.com/p/CC_RWDCgh6U/?igshid=1vs93rc3h0bic,0,1286313121053908992,,,,en,"Key Biscayne, FL",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Are you moving out or simply COVID spring cleaning ? Call the Veterans for pick up. Pay it forward ‼️ #veterans 🇺🇸#luxurylifestyle #keybiscayne🌴☀️ #miamiwaterfrontproperties #vernonandvernon @ Key Biscayne, Florida https://t.co/qR80mtBB33",https://twitter.com/VernonandVernon/status/1286313121053908992,Tue Mar 09 17:35:41 +0000 2010,VernonandVernon,False,"Miami Waterfront Real Estate. Distinctive, Exceptional, Personalized real estate services for more than 25 years.",549,877,923,16,Key Biscayne Florida,Thania Vernon,VernonandVernon,3271,,http://miamiwaterfrontproperties.com,False
327,"-80.3852,25.5888",Thu Jul 23 15:17:21 +0000 2020,wearamask washyourhands covid19,,https://www.instagram.com/p/CC_UPxzFfJddFDeR3FceEc0UolO9dYsB2qCzVc0/?igshid=wrts79wehw8g,0,1286319499218747392,,,,en,"South Miami Heights, FL",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#wearamask #washyourhands #covid19 @ South Miami Heights, Florida https://t.co/5gjQGWnNeM",https://twitter.com/jeromeeppinger/status/1286319499218747392,Tue Aug 23 16:12:57 +0000 2011,jeromeeppinger,False,Father of 4 beautiful girls and one handsome son...,5253,240,1354,5,"Miami, FL",jeromeeppinger,jeromeeppinger,6151,,,False
340,"-80.2033,26.1705",Thu Jul 23 15:41:55 +0000 2020,,,https://www.instagram.com/p/CC_XDgeAsrw/?igshid=1gcvd22b0c0eh,0,1286325680544735232,,,,en,"Lauderdale Lakes, FL",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","🚨COVID-19 Drive-Thru testing now available at select locations. If you think you have been exposed to COVID‑19 and develop a fever and symptoms, such as cough or difficulty breathing, call your healthcare provider… https://t.co/pYsQ1vSfJh",https://twitter.com/LLakes_WeCare/status/1286325680544735232,Thu Apr 30 22:14:44 +0000 2015,LLakes_WeCare,False,"In Lauderdale Lakes, We Care!",71,607,719,24,"Lauderdale Lakes, FL",Lauderdale Lakes FL,LLakes_WeCare,844,,http://lauderdalelakes.org/,False
431,"-80.20705,25.80429",Thu Jul 23 18:40:01 +0000 2020,carwash detailing wynwood miamilife steamcleaning covid19 facemask,,https://www.instagram.com/p/CC_rcAUgYuM/?igshid=17shagzu7tf61,0,1286370501036838912,,,,en,"Miami, FL",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Car wash &amp; profesional details GRAN OPENING July 27. #carwash #detailing #wynwood #miamilife #steamcleaning #covid19 #facemask @ Avant-Garde Customz &amp; Collision Repairs https://t.co/vJaVZoOyPA,https://twitter.com/agcustomz/status/1286370501036838912,Thu Aug 06 16:45:33 +0000 2009,agcustomz,False,"Auto Customising, Collision, Carbon fiber fabrication, restoration, upholstery, Glass, rim & tires.",137,157,122,6,"2921 NW 7 Ave. Miami, Florida ",Avant-Garde Customz,agcustomz,1544,,http://www.agcustomz.com,False
485,"-80.249503,26.124354",Thu Jul 23 18:55:09 +0000 2020,covid19 pandemic politics virus politiciansrcriminals america staywoke,,https://www.instagram.com/p/CC_tJxXAr-7/?igshid=1183g5eeea49,0,1286374309330591744,,,,en,"Plantation, FL",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","#covid19 #pandemic #politics #virus #politiciansrcriminals #america #staywoke @ Broward County, Florida https://t.co/nsx1LAK9Cs",https://twitter.com/allstartat2/status/1286374309330591744,Thu Nov 07 14:42:25 +0000 2013,allstartat2,False,"SAG/Aftra Actor/Stuntman/Print/Voiceover/Comedian,by day tattoo artist by night...check me out on my channel https://t.co/UAwPoZF68F",3752,1526,2994,41,"High Springs, FL",Richard Pis,allstartat2,5593,,,False
