,coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name.1,user_statuses_count,user_time_zone,user_urls,user_verified
155,"-84.3889,33.7566",Thu Jul 23 11:31:57 +0000 2020,,,https://www.instagram.com/p/CC-6WRYF9MB/?igshid=ie662mtzjd5d,0,1286262773559832576,,,,en,"Atlanta, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Here is a solo acoustic performance of our song “Move On” from the Facedown EP (a new full band recording of this is coming soon) for our Coronavirus concert series we do every other week at home in Atlanta, GA on… https://t.co/L2sGDaPCdB",https://twitter.com/Pacificorock/status/1286262773559832576,Wed Mar 25 17:38:21 +0000 2009,Pacificorock,False,Pacifico is an Idea. A collection of musician from all over the world making good music. The outlet of singer-songwriter Matthew Schwartz.,237,685,1932,28,"Baton Rouge, LA",Pacifico,Pacificorock,5663,,http://www.pacificorock.com,False
191,"-84.3889,33.7566",Thu Jul 23 12:20:55 +0000 2020,,,https://www.instagram.com/p/CC-z8W7BzUQ/?igshid=1p3gly6pvqaye,1,1286275098547310592,,,,en,"Atlanta, GA",False,2,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","A lot of small businesses are giving up and shutting down as the COVID-19 pandemic continues. 
Many of those businesses, such as Camicakes on Peachtree Road in Buckhead, could not afford rent and are now getting… https://t.co/oFLXsl1HoS",https://twitter.com/streetz945atl/status/1286275098547310592,Fri Jun 22 17:03:57 +0000 2012,streetz945atl,False,The OFFICIAL TWITTER for Streetz 94.5 Atlanta | Atlanta's Number 1 Station in the STREETZ |#streetz945atl #streetz945 IG @streetz945atl,416,38929,1215,177,"Atlanta, GA",Streetz 94.5 ATL,streetz945atl,118215,,http://www.streetz945atl.com,False
237,"-84.40710068,33.72091302",Thu Jul 23 12:34:32 +0000 2020,,,https://www.instagram.com/p/CC_Bkh-hlTi/?igshid=1o1fk845cplu2,0,1286278521854164992,,,,en,"Atlanta, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","The COVID-19 Pandemic got you frustrated?
Are not feeling or looking your best?
Want to workout pr get a training but don't want to go to a big box gym?

Come Visit FitSquad Studios. We've been practicing Social… https://t.co/hEV4xIlxny",https://twitter.com/TrainwithMoses/status/1286278521854164992,Sat Jul 11 05:14:38 +0000 2009,TrainwithMoses,False,"Founder/Owner of MC Healthcare, Inc. & Fitsquad Studios & Executive Producer of Pole Dance America",397,622,19,13,1240 Metropolitan Parkway SW,TrainingwithMoses,TrainwithMoses,13899,,https://www.mchealthcareinc.org/trainingwithmoses,False
290,"-84.38666184,33.7819276",Thu Jul 23 14:20:35 +0000 2020,morningthoughts mensstyle suitsupply tailored,,https://www.instagram.com/p/CC_Nv1qnmC0/?igshid=1wcet27qm7swh,1,1286305213457010688,,,,en,"Atlanta, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thankful to Covid for showing me how many of my relationships were based on convenience. 💯
.
Sincerely, JM | #morningthoughts #mensstyle #suitsupply #tailored by @l_embellished @ The Consulate Atlanta https://t.co/crOh7EHBnu",https://twitter.com/JesseMillsBrand/status/1286305213457010688,Mon Jun 23 05:28:18 +0000 2008,JesseMillsBrand,False,I empower businesses to brand brilliantly on social media @TheChoiceLLC | tags: #socialmediamanager #socialmediaexpert #culture,645,3073,524,117,Atlanta | Miami,Jesse Mills,JesseMillsBrand,21577,,http://thechoiceconsulting.com,False
292,"-84.5327447,33.9487145",Thu Jul 23 14:35:12 +0000 2020,princehall inspiration rap ambition hiphop stayhome concerttime,,https://myafton.com/PrinceHall https://www.instagram.com/p/CC_PYaQFDy0/?igshid=1c0ig5wv08r5q,0,1286308891878449152,,,,en,"Marietta, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Prince Hall: Sicker Than COVID July 25th 8:30 get your tickets today ⁣ https://t.co/iDzzgug4uV link in the bio 
.⁣
.⁣
.⁣
.⁣
.⁣
#princehall #inspiration #rap #ambition #hiphop #stayhome #concerttime… https://t.co/qsr6te1yoH",https://twitter.com/PrinceHall_PH/status/1286308891878449152,Sat Jan 07 06:42:46 +0000 2012,PrinceHall_PH,False,Prince Hall is one of Hip-Hop’s new innovative and gifted lyricists. Rapper/Songwriter check out my music,579,1268,1791,10,"Atlanta, GA",Prince Hall,PrinceHall_PH,3169,,https://linktr.ee/princehall_ph,False
333,"-84.32733442,33.84175598",Thu Jul 23 15:05:26 +0000 2020,,,https://www.instagram.com/p/CC_S4adlMvF/?igshid=1d318t8k0dail,0,1286316499112800256,,,,en,"Brookhaven, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",COVID-19 stinks! We are so sorry to announce that one of our members possibly to have Tested positive for COVID-19. Any members that trained on last Wednesday please get in touch with us so we can update you. Do you… https://t.co/cIdwP1hWwf,https://twitter.com/tmosstheboss/status/1286316499112800256,Thu May 13 01:21:28 +0000 2010,tmosstheboss,False,"CEO Buckhead Fight Club, CEO Corporate Fight Night, 2015 Hall of Fame, WIBA/WIBF World Champion, Guinness World Record",762,1002,320,21,Atlanta GA USA,Terri Moss,tmosstheboss,7824,,http://buckheadfightclub.com,False
347,"-84.1937422,33.7548343",Thu Jul 23 15:38:47 +0000 2020,nationaldivaday,,https://www.instagram.com/p/CC_WslChtt2/?igshid=v5mc6z2d4qy5,0,1286324890874908672,,,,en,"Redan, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",The most wonderful time of the year is here! Countdown to #nationaldivaday I am trying not to be upset because I know where I wanna go for my birthday and covid is pissing all over my plans! But either way I’m gonna… https://t.co/LSv9tpD9V3,https://twitter.com/Tiwaina/status/1286324890874908672,Mon Mar 09 03:05:31 +0000 2009,Tiwaina,False,All you need to know is I'm not a heaux....and to get with me you better be Chief Lotsa Dough!!! There's nothing not to love about me!,2114,900,1694,24,"Stone Mountain, GA",LaToya Walton,Tiwaina,38006,,http://www.facebook.com/tiwaina,False
372,"-81.13856,32.00128",Thu Jul 23 17:00:48 +0000 2020,,,https://www.instagram.com/p/CC_fg-AAYfq/?igshid=1nij5wh0wyc3a,0,1286345530575069184,,,,en,"Savannah, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",From the Barbershop to COVID-19 Testing!!🤧😷👃🏿👀 @ Kingdom Life Christian Fellowship Savannah https://t.co/M3sldYNDD8,https://twitter.com/AphiA2017/status/1286345530575069184,Wed Jun 10 07:40:44 +0000 2020,AphiA2017,False,,3,6,2,0,,"Robert R. Jordan, Jr.",AphiA2017,201,,,False
467,"-84.36963964,33.78905508",Thu Jul 23 19:26:06 +0000 2020,,,https://www.instagram.com/p/CC_wthTH7-Y/?igshid=1bjx85986l5wn,0,1286382097138032640,,,,en,"Atlanta, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Better exercise, kindness,and ENDORPHINS.  I’ll help with that and more. I provide an exceptional value. Period. The Covid-19 crisis, shutdown means I have greater availability for new clients. @ Urban Body Fitness https://t.co/cHEiTF7kts",https://twitter.com/edwardstoneATL/status/1286382097138032640,Fri May 16 14:10:42 +0000 2014,edwardstoneATL,False,"Certified Fitness Trainer. Majority of tweets are political, philosophical vents. I'm humbled often, always learning, striving for a better me+world.✍️💪😃",6631,113,384,2,"Atlanta, Georgia",EdwardStoneATL,edwardstoneATL,4169,,https://www.facebook.com/pages/Edward/Stone-Rocks-Harder-Bodies/413344292068162,False
497,"-84.3889,33.7566",Thu Jul 23 19:53:21 +0000 2020,,,https://www.instagram.com/p/CC_z1MKFv7O/?igshid=1svcaq8rp29v9,0,1286388955857002496,,,,en,"Atlanta, GA",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","We all miss Beau’s golf lessons. We’re still social distancing so I’m currently trying to find ways to keep the children engaged and have a little sense of normalcy while still being safe. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀… https://t.co/6UdChVwWRF",https://twitter.com/its_elmm/status/1286388955857002496,Wed May 06 02:39:07 +0000 2009,its_elmm,False,JesusChaser🙌🏾🙏🏾Wife👰🏾💍 Mother👦🏽👧🏽Homeschool 📚ATL Real Estate🏡Blogger 💻 https://t.co/BxZjKG0lEq,70,81,166,0,Atlanta GA,Ashley Raines,its_elmm,621,,https://www.youtube.com/channel/UCjAWIsrF3QX9qhhp83V7cbg,False
