,coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name.1,user_statuses_count,user_time_zone,user_urls,user_verified
146,"-74.00187056,40.7332086",Thu Jul 23 09:52:33 +0000 2020,,https://twitter.com/chismetime/status/1286237759732985856/photo/1,http://dlvr.it/RcBwTR,0,1286237759732985856,,,,en,"Manhattan, NY",False,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","The One Change That Could Save Your Neighborhood Stores: The key to pandemic survival for your favorite, homey retailer may be bankruptcy protection. But the code does too little for small businesses. https://t.co/lZ8GhHZO3v (vía NYtimes) https://t.co/xHJ79cdSHV",https://twitter.com/chismetime/status/1286237759732985856,Mon Nov 23 06:00:07 +0000 2009,chismetime,False,"Spanish & English gossip news / chismes. I love all chismes! (sources: TMZ, PerezHilton, En el Brasero and mx hola! we added +news/noticias (El Universal) xx",1,276,12,5,Your tongue,Chisme Time,chismetime,207723,,https://www.facebook.com/chismetimeone,False
147,"-74.00187056,40.7332086",Thu Jul 23 09:52:37 +0000 2020,,https://twitter.com/chismetime/status/1286237774618562560/photo/1,http://dlvr.it/RcBwTZ,0,1286237774618562560,,,,en,"Manhattan, NY",False,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Where an American Passport Doesn’t Work: The World, and Irish Pubs: Will the coronavirus finally show Americans how much privilege they’ve enjoyed? https://t.co/x1hla9bRzn (vía NYtimes) https://t.co/mvtFI9UWgF",https://twitter.com/chismetime/status/1286237774618562560,Mon Nov 23 06:00:07 +0000 2009,chismetime,False,"Spanish & English gossip news / chismes. I love all chismes! (sources: TMZ, PerezHilton, En el Brasero and mx hola! we added +news/noticias (El Universal) xx",1,276,12,5,Your tongue,Chisme Time,chismetime,207723,,https://www.facebook.com/chismetimeone,False
154,"-73.50930015,40.72529159",Thu Jul 23 11:09:55 +0000 2020,,,https://www.instagram.com/p/CC-35-rnjT1/?igshid=11cnhbk3yu4mh,0,1286257228094115840,,,,en,"Levittown, NY",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SEE YOU SUNDAY 😎🗣

Sunday, July 26th! 
THE LONG ISLAND VEGAN POP UP 

Outside @ Good Shepherd Lutheran Church 3434 Hempstead Turnpike Levittown!!
.
. **Social distancing**
Free Hand sanitizer! 
1 shopper per booth,… https://t.co/rKj1DOhj9p",https://twitter.com/LockwiseAllDay/status/1286257228094115840,Fri Mar 06 04:30:09 +0000 2009,LockwiseAllDay,False,Speaking out loud about the Culture,439,1639,1373,30,L.I.NYC.UK,LockwiseAllday,LockwiseAllDay,8725,,,False
180,"-74.00589108,40.71270142",Thu Jul 23 11:16:13 +0000 2020,littlerickyreccommends richardmishaandesign,,https://www.instagram.com/p/CC-4pdSheLj/?igshid=1grp5dsbzb6zg,0,1286258815474839552,,,,en,"Manhattan, NY",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Social distancing at the dining table only slows for fewer people to gather. Choosing who gets to be around the table has become more important than ever... #littlerickyreccommends #richardmishaandesign… https://t.co/yQ2VA5fH52,https://twitter.com/richardmishaan/status/1286258815474839552,Tue Apr 28 20:45:21 +0000 2009,richardmishaan,False,"#littlerickyrecommends, Art obsessed,father,husband,designer,author",53,1035,221,37,NYC,Richard Mishaan,richardmishaan,2334,,http://richardmishaan.com,False
195,"-73.84350331,40.74593584",Thu Jul 23 11:19:30 +0000 2020,,,https://www.instagram.com/p/CC-5BjdH4E7/?igshid=dj8p6yv6r1rh,1,1286259640821592064,,,,en,"Queens, NY",False,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Saturday, 8:30AM: QDR Cleanup at Flushing Meadows Corona Park and Meadow Lake 

Meetup: Queens Unisphere 

Let's keep up the good work. Our parks and shared spaces deserve better. Two weeks ago, we uncovered a… https://t.co/jhzhSoeinS",https://twitter.com/QueensDistance/status/1286259640821592064,Thu Sep 05 01:59:23 +0000 2013,QueensDistance,False,Bringing Queens exciting races and programs aimed to improve the fitness and running community. #queensdistance,146,626,1017,24,"Queens, New York ",Queens Distance,QueensDistance,781,,http://qdrunners.org,False
223,"-73.95,40.65",Thu Jul 23 12:34:57 +0000 2020,,,https://www.instagram.com/p/CC_BqGrlva3/?igshid=okmogakxc7oj,0,1286278626032353280,,,,en,"Brooklyn, NY",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",#thenewneighbor#Brooklynny#Thingsyouseeinbrooklyn#Brooklynphoto#Brooklynphotography#parkslope#Parkslopebrooklyn#lifeinbrooklyn#Bklife#ppe#facemask#covid19#pandemic#socialdistancing#quarantine#brooklynstoop#stoopsofbro… https://t.co/VfvWCutHIe,https://twitter.com/citysprite418/status/1286278626032353280,Mon Apr 20 22:36:38 +0000 2009,citysprite418,False,"Blogger at fairiesangelsnurses@wordpress.com,owner of Pixandthecity@Etsy.com. Experienced Angel card reader.blogger at thetwinkledwrinkle@wordpress.com",6309,106,199,2,"Park Slope, Brooklyn",Mary Anne Masaro,citysprite418,2419,,http://tumblr.com/pixonthehook,False
240,"-74.00187056,40.7332086",Thu Jul 23 12:49:40 +0000 2020,,https://twitter.com/chismetime/status/1286282329636261888/photo/1,http://dlvr.it/RcCVrJ,0,1286282329636261888,,,,en,"Manhattan, NY",False,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Coronavirus Live Updates: U.S. Nears 4 Million Cases: Alabama, California, Idaho and Texas recorded daily death records. Other states reported their highest daily case totals. As pandemic protections reach an end, landlords are moving to… https://t.co/2I3SPyHlea (vía NYtimes) https://t.co/SDgnOn1UM7",https://twitter.com/chismetime/status/1286282329636261888,Mon Nov 23 06:00:07 +0000 2009,chismetime,False,"Spanish & English gossip news / chismes. I love all chismes! (sources: TMZ, PerezHilton, En el Brasero and mx hola! we added +news/noticias (El Universal) xx",1,276,12,5,Your tongue,Chisme Time,chismetime,207723,,https://www.facebook.com/chismetimeone,False
243,"-74.00187056,40.7332086",Thu Jul 23 12:49:35 +0000 2020,,https://twitter.com/chismetime/status/1286282312397643776/photo/1,http://dlvr.it/RcCVqk,0,1286282312397643776,,,,en,"Manhattan, NY",False,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Ascena, Owner of Ann Taylor and Lane Bryant, Files for Bankruptcy: Ascena Retail is the latest retailer to fall during the pandemic. The disappearance of some of its 2,800 stores is a fresh blow to shopping malls. https://t.co/R18YmucQ2Z (vía NYtimes) https://t.co/KISFxeCAXI",https://twitter.com/chismetime/status/1286282312397643776,Mon Nov 23 06:00:07 +0000 2009,chismetime,False,"Spanish & English gossip news / chismes. I love all chismes! (sources: TMZ, PerezHilton, En el Brasero and mx hola! we added +news/noticias (El Universal) xx",1,276,12,5,Your tongue,Chisme Time,chismetime,207723,,https://www.facebook.com/chismetimeone,False
249,"-73.956522,40.772791",Thu Jul 23 13:39:05 +0000 2020,icpconcerned mynytimes burnmyeye newyorkerphoto myqbb eyephotomagazine masks quarantine nyc2020 pandemic newyorkerphoto covidstoriesnyc nyclife,,https://www.instagram.com/p/CC_I_vUJUqF/?igshid=1sekbnx9m0z52,0,1286294766355976192,,,,en,"Manhattan, NY",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Pandemic nannies with makeshift kites ..

#icpconcerned #mynytimes #burnmyeye #newyorkerphoto  #myqbb #eyephotomagazine  #masks #quarantine #nyc2020  #pandemic #newyorkerphoto #covidstoriesnyc #nyclife… https://t.co/XZtFfmsEMC",https://twitter.com/NinaDrapacz/status/1286294766355976192,Thu Feb 21 00:07:47 +0000 2013,NinaDrapacz,False,"I am a photographer specializing in children, corporate and maternity portraits as well as events for 21 yrs. I studied extensively with Richard Avedon",13,78,118,4,"500 e 85th st New York, NY",Nina Drapacz,NinaDrapacz,1342,,http://Ninadrapacz.com,False
301,"-73.94894375,40.8092729",Thu Jul 23 13:40:42 +0000 2020,tauomegaakas,,https://www.instagram.com/p/CC_JLzanMHo/?igshid=1y0qrj1gkje5l,2,1286295176638603264,,,,en,"Manhattan, NY",False,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Thank you to everyone that helped our chapter surpass our initial goal of $1000 to raise $2,075 for this year’s AIDS Walk!

Funds for the walk went to people affected by HIV/AIDS and COVID-19. 

#tauomegaakas… https://t.co/XimcGrGmUP",https://twitter.com/TauOmegaAKAs/status/1286295176638603264,Fri Mar 27 22:59:43 +0000 2009,TauOmegaAKAs,False,"Tau Omega is the oldest NYC Metro graduate chapter of AKA. Alpha Kappa Alpha Sorority, Inc.® is not responsible for the design nor content of this media site.",30,1375,469,40,"Harlem, NY",AKATauOmega,TauOmegaAKAs,1605,,http://akato1908.wildapricot.org,False
